datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,ATSI,OE,6721.991,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,OVEC,OVEC,39.000,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,WEST,ATSI,PAPWR,588.920,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PE,PE,3750.936,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2363.179,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PL,PLCO,4401.583,False
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PN,PN,1934.834,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PS,PS,4199.239,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,RECO,RECO,123.056,False
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PEP,SMECO,403.467,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,PL,UGI,110.650,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RFC,MIDATL,AE,VMEU,69.822,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,RTO,RTO,RTO,RTO,85887.609,False
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,AE,AECO,893.871,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,AEP,AEPAPT,4963.369,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,AEP,AEPIMP,3027.097,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,AEP,AEPKPT,788.065,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6536.119,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,AP,AP,5953.487,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,BC,BC,3287.917,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,CE,CE,10110.440,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,DAY,DAY,2023.000,False
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,DEOK,DEOK,2984.138,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,12807.137,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1983.581,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,DUQ,DUQ,1358.709,False
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,DPL,EASTON,28.579,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,SERC,WEST,EKPC,EKPC,2051.799,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,JC,JC,2111.956,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,ME,ME,1749.765,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,ATSI,OE,6760.155,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,OVEC,OVEC,38.000,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,WEST,ATSI,PAPWR,584.416,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PE,PE,3848.134,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2468.338,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PL,PLCO,4525.344,False
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PN,PN,2014.958,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PS,PS,4267.994,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,RECO,RECO,125.788,False
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PEP,SMECO,426.475,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,PL,UGI,114.314,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RFC,MIDATL,AE,VMEU,71.962,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,RTO,RTO,RTO,RTO,87904.907,False
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,AE,AECO,940.177,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,AEP,AEPAPT,5195.713,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3174.232,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,AEP,AEPKPT,820.831,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6883.813,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,AP,AP,6309.345,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,BC,BC,3549.530,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,CE,CE,10353.419,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,DAY,DAY,2150.000,False
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,DEOK,DEOK,3132.736,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,13780.430,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,2170.144,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,DUQ,DUQ,1420.440,False
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,DPL,EASTON,30.609,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,SERC,WEST,EKPC,EKPC,2160.460,True
